E_S;CODI_SAD;NOM;RIU;X_COOR;Y_COOR;MA;NOM_MA;ANY;ESTAT_SEQUERA;RECURS_REGULAT;UNITATS;ANUAL;T1;T2;T3;T4;S1;S2;GEN;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;UNITATS_DIARITZAT;DIARITZAT_GEN;DIARITZAT_FEB;DIARITZAT_MAR;DIARITZAT_ABR;DIARITZAT_MAY;DIARITZAT_JUN;DIARITZAT_JUL;DIARITZAT_AGO;DIARITZAT_SEP;DIARITZAT_OCT;DIARITZAT_NOV;DIARITZAT_DIC;SI_CABAL_DIARI;NITROGEN_TOTAL_SORTIDA;CODI_EDAR;PRE_POST_PASTERAL
E;EDAR_FOLG;EDAR FOLGUEROLES;GURRI;442894,4441;4643908,041;ES100MSPF2000200;Riu Gurri des de la confluència de la riera de Rimentol fins al Ter (inclòs el torrent de Folgueroles);MITJANA_2010-20;NA;NA;HM3;0,17813099;0,04392271;0,04441074;0,04489877;0,04489877;0,08930951;0,08882148;0,015128933;0,013664843;0,015128933;0,014640903;0,015128933;0,014640903;0,015128933;0,015128933;0,014640903;0,015128933;0,014640903;0,015128933;M3/S;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;0,005648497;488,0301108;26,41388879;DFOL;PRE
E;EDAR_HOSTOLES;EDAR PLANES D'HOSTOLES, LES;BRUGENT;462989,4747;4655871,906;ES100MSPF2000260;El Brugent;MITJANA_2010-20;NA;NA;HM3;0,325339232;0,080220632;0,081111973;0,082003313;0,082003313;0,163115286;0,162223946;0,027631551;0,02495753;0,027631551;0,026740211;0,027631551;0,026740211;0,027631551;0,027631551;0,026740211;0,027631551;0,026740211;0,027631551;M3/S;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;0,010316439;891,3403609;15,79404763;DLPH;POST
E;EDAR_MANLLEU;EDAR MANLLEU;TER;440844,9125;4649333,417;ES100MSPF2000150;El Ter entre el Ges i el Gurri;MITJANA_2010-20;NA;NA;HM3;2,386782973;0,588521829;0,59506096;0,601600092;0,601600092;1,196661052;1,190121921;0,202713074;0,18309568;0,202713074;0,196173943;0,202713074;0,196173943;0,202713074;0,202713074;0,196173943;0,202713074;0,196173943;0,202713074;M3/S;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;0,075684392;6539,131433;12,38489056;DMAN;PRE
E;EDAR_QUART;EDAR QUART;ONYAR;487119,112;4646109,418;ES100MSPF2000360;Riu Onyar des de la confluència de la riera de Gotarra fins a l'entrada al nucli urbà de Girona, incloses les rieres de Bugantó i de Celrà;MITJANA_2010-20;NA;NA;HM3;0,214779676;0,052959372;0,05354781;0,054136247;0,054136247;0,107684057;0,107095619;0,018241561;0,016476249;0,018241561;0,017653124;0,018241561;0,017653124;0,018241561;0,018241561;0,017653124;0,018241561;0,017653124;0,018241561;M3/S;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;0,006810619;588,4374676;75,5;DQRT1;POST
E;EDAR_RIUDELLOTS;EDAR RIUDELLOTS DE LA SELVA;ONYAR;484392,167;4639640,646;ES100MSPF2000360;Riu Onyar des de la confluència de la riera de Gotarra fins a l'entrada al nucli urbà de Girona, incloses les rieres de Bugantó i de Celrà;MITJANA_2010-20;NA;NA;HM3;0,419004077;0,103316074;0,10446403;0,105611986;0,105611986;0,210076016;0,20892806;0,035586648;0,032142778;0,035586648;0,034438691;0,035586648;0,034438691;0,035586648;0,035586648;0,034438691;0,035586648;0,034438691;0,035586648;M3/S;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;0,013286532;1147,956374;22,138346;DRDS;POST
E;EDAR_RODA;EDAR RODA DE TER;TER;442908,9081;4647458,86;ES100MSPF2000210;El Ter entre el Gurri i la cua de l'embassament de Sau;MITJANA_2010-20;NA;NA;HM3;0,419779675;0,103507317;0,104657398;0,10580748;0,10580748;0,210464878;0,209314797;0,03565252;0,032202276;0,03565252;0,034502439;0,03565252;0,034502439;0,03565252;0,03565252;0,034502439;0,03565252;0,034502439;0,03565252;M3/S;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;0,013311126;1150,081301;32,30126246;DRDT;PRE
E;EDAR_RIBES;EDAR RIBES DE FRESER;FRESER;431363,6896;4683300,391;ES100MSPF2000030;Capçalera del Freser fins a Campdevànol, inclosos el Rigard i el Segadell;MITJANA_2010-20;NA;NA;HM3;0,781422962;0,192679634;0,194820519;0,196961404;0,196961404;0,391781923;0,389641039;0,06636743;0,059944775;0,06636743;0,064226545;0,06636743;0,064226545;0,06636743;0,06636743;0,064226545;0,06636743;0,064226545;0,06636743;M3/S;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;0,02477876;2140,884827;11,6991667;DRIF;PRE
E;EDAR_RIPOLL;EDAR RIPOLL;TER;434025,6959;4668443,795;ES100MSPF2000060;El Ter entre el Freser i la riera de Vallfogona;MITJANA_2010-20;NA;NA;HM3;2,729014194;0,672907609;0,680384361;0,687861112;0,687861112;1,368245473;1,360768721;0,231779288;0,209349034;0,231779288;0,224302536;0,231779288;0,224302536;0,231779288;0,231779288;0,224302536;0,231779288;0,224302536;0,231779288;M3/S;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;0,086536472;7476,751216;10,35930677;DRIP;PRE
E;EDAR_SEVA;EDAR SEVA;GURRI;439907,2728;4632258,389;ES100MSPF2000190;Capçalera del Gurri fins a la confluència amb la riera de Tona;MITJANA_2010-20;NA;NA;HM3;0,129339301;0,031891882;0,032246237;0,032600591;0,032600591;0,064846827;0,064492473;0,010984982;0,009921919;0,010984982;0,010630627;0,010984982;0,010630627;0,010984982;0,010984982;0,010630627;0,010984982;0,010630627;0,010984982;M3/S;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;0,004101322;354,3542485;27,06666724;DSEV;PRE
E;EDAR_STGREGORI;EDAR SANT GREGORI;LLEMENA;480206,4278;4647967,418;ES100MSPF2000300;Riera de Llèmena i riera de Canet;MITJANA_2010-20;NA;NA;HM3;0,0876;0,0216;0,02184;0,02208;0,02208;0,04392;0,04368;0,00744;0,00672;0,00744;0,0072;0,00744;0,0072;0,00744;0,00744;0,0072;0,00744;0,0072;0,00744;M3/S;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;0,002777778;240;78,19157248;DSGR;POST
E;EDAR_STHILARI;EDAR SANT HILARI SACALM;OSOR;458961,5566;4638167,774;ES100MSPF2000290;Riera d'Osor;MITJANA_2010-20;NA;NA;HM3;0,54762584;0,135031029;0,136531374;0,138031719;0,138031719;0,274563092;0,273062748;0,046510688;0,042009653;0,046510688;0,045010343;0,046510688;0,045010343;0,046510688;0,046510688;0,045010343;0,046510688;0,045010343;0,046510688;M3/S;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;0,017365101;1500,344767;30,75296153;DSHS;POST
E;EDAR_STJOAN;EDAR SANT JOAN DE LES ABADESSES;TER;440360,9132;4675350,77;ES100MSPF2000020;El Ter entre el Ritort i el Freser;MITJANA_2010-20;NA;NA;HM3;0,332911852;0,082087854;0,082999941;0,083912028;0,083912028;0,166911969;0,165999882;0,028274705;0,025538443;0,028274705;0,027362618;0,028274705;0,027362618;0,028274705;0,028274705;0,027362618;0,028274705;0,027362618;0,028274705;M3/S;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;0,010556566;912,087265;43,67795831;DSJA;PRE
E;EDAR_ESQ;EDAR SANTA MARIA DE CORCÓ-L'ESQUIROL;GORGES;447397,3255;4653636,625;ES100MSPF2000230;Riera de les Gorgues;MITJANA_2010-20;NA;NA;HM3;0,122452756;0,03019383;0,030529317;0,030864804;0,030864804;0,061394122;0,061058635;0,010400097;0,009393636;0,010400097;0,01006461;0,010400097;0,01006461;0,010400097;0,010400097;0,01006461;0,010400097;0,01006461;0,010400097;M3/S;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;0,003882951;335,487004;20,84848496;DSMC;PRE
E;EDAR_STQUIRZE;EDAR SANT QUIRZE DE BESORA;TER;436221,2815;4660737,299;ES100MSPF2000090;El Ter entre la riera de Vallfogona fins el Ges;MITJANA_2010-20;NA;NA;HM3;0,140104488;0,034546312;0,03493016;0,035314008;0,035314008;0,070244168;0,06986032;0,011899285;0,010747742;0,011899285;0,011515437;0,011899285;0,011515437;0,011899285;0,011899285;0,011515437;0,011899285;0,011515437;0,011899285;M3/S;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;0,004442684;383,8479115;NA;DSQB;PRE
E;EDAR_TARADELL;EDAR TARADELL;GURRI;440005,6351;4636937,687;ES100MSPF2000190;Capçalera del Gurri fins a la confluència amb la riera de Tona;MITJANA_2010-20;NA;NA;HM3;0,551863349;0,136075894;0,137587849;0,139099803;0,139099803;0,276687652;0,275175697;0,046870586;0,042334723;0,046870586;0,045358631;0,046870586;0,045358631;0,046870586;0,046870586;0,045358631;0,046870586;0,045358631;0,046870586;M3/S;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;0,017499472;1511,954381;20,12500005;DTAL;PRE
